ADAK IS.             AK US 184.35 142.88    4 ADK 0
CHIPPEWA INTL AP     MI US 276.53 137.25  244 CIU 0
COPPER HAR           MI US 273.13 138.47  186 P59 0
DETROIT              MI US 277.67 133.23  203 DTW 1
FLINT                MI US 277.27 133.97  234 FNT 0
GRAND RAPIDS         MI US 275.48 133.88  245 GRR 0
GRAYLING AFR         MI US 276.50 135.83  387 3RN 0
GWINN                MI US 273.60 137.35  372 SAW 0
HANCOCK              MI US 272.50 138.17  329 CMX 0
HOUGHTON LAKE        MI US 276.32 135.37  354 HTL 0
IRON MOUNTAIN        MI US 272.88 136.82  358 IMT 0
IRONWOOD             MI US 270.87 137.53  380 IWD 0
JACKSON              MI US 276.53 133.27  305 JXN 0
KALAMAZOO            MI US 275.45 133.23  266 AZO 0
LANSING              MI US 276.40 133.78  267 LAN 0
MANISTEE             MI US 274.75 135.27  189 MBL 0
MARQUETTE            MI US 273.45 137.53  435 MQT 0
MT.CLEMENS           MI US 278.17 133.60  178 MTC 0
MUSKEGON             MI US 274.77 134.17  193 MKG 0
PELLSTON             MI US 276.20 136.57  220 PLN 0
PORT HOPE            MI US 278.20 135.02  183 P58 0
SAGINAW              MI US 276.92 134.53  204 MBS 0
SAULT STE MARIE      MI US 276.63 137.47  221 Y62 0
SEUL CHOIX           MI US 275.08 136.92  180 P75 0
TRAVERSE CITY        MI US 275.42 135.73  192 TVC 0
WURTSMITH AFB        MI US 277.60 135.45  193 OSC 0
ALEXANDRIA           MN US 265.62 136.87  434 AXN 0
BEMIDJI              MN US 266.07 138.50  420 BJI 0
BRAINERD             MN US 266.87 137.40  374 BRD 0
DULUTH               MN US 268.82 137.83  432 DLH 0
GRAND MARA           MN US 270.67 138.75  186 P61 0
HIBBING              MN US 268.15 138.38  412 HIB 0
INTERNATIONAL FLS    MN US 267.62 139.57  361 INL 0
MINNEAPOLIS          MN US 267.78 135.88  256 MSP 1
PEQUOT L.            MN US 266.68 137.58  390 P39 0
REDWOOD FALLS        MN US 265.92 135.55  311 RWF 0
ROCHESTER            MN US 268.50 134.92  403 RST 0
ST CLOUD             MN US 266.93 136.55  312 STC 0
WARROAD              MN US 265.65 139.93  328 D45 0
WORTHINGTON          MN US 265.42 134.65  480 OTG 0
CAPE GIRARDEAU       MO US 271.42 128.23  104 CGI 0
COLUMBIA             MO US 268.78 129.82  274 COU 0
FT LEONARD WOOD      MO US 268.85 128.75  353 TBN 0
GRANDVIEW            MO US 266.45 129.85  332 GVW 0
JOPLIN               MO US 266.50 128.17  299 JLN 0
KANSAS CITY          MO US 266.28 130.32  313 MCI 0
KANSAS CITY DWNTN    MO US 266.40 130.12  231 MKC 0
KIRKSVILLE           MO US 268.45 131.10  294 IRK 0
POPLAR BLUF          MO US 270.53 127.77  114 P02 0
SPICKARD             MO US 267.28 131.25  270 P35 0
SPIRIT OF ST LOUI    MO US 270.37 129.65  141 SUS 0
SPRINGFIELD          MO US 267.62 128.23  387 SGF 0
ST. JOSEPH           MO US 266.08 130.77  249 STJ 0
ST. LOUIS            MO US 270.62 129.75  172 STL 1
VICHY-ROLLA          MO US 269.23 129.13  350 VIH 0
WHITEMAN AFB         MO US 267.45 129.72  265 SZL 0
BILOXI               MS US 272.08 121.42    8 BIX 0
CAMP SHELBY TACR     MS US 271.98 122.12   85 T06 0
COLUMBUS AFB         MS US 272.55 124.65   67 CBM 0
GREENVILLE           MS US 270.02 124.48   40 GLH 0
GREENWOOD            MS US 270.92 124.50   41 GWO 0
GULFPORT             MS US 271.93 121.40    9 GPT 0
JACKSON              MS US 270.92 123.32  101 JAN 1
LAUREL-HATIESBURG    MS US 271.67 122.47   89 PIB 0
MCCOMB               MS US 270.53 122.18  129 MCB 0
MERIDIAN             MS US 272.25 123.33   95 MEI 0
MERIDIAN NAS         MS US 272.43 123.55   97 NMM 0
TUPELO               MS US 272.23 125.27  110 TUP 0
BILLINGS             MT US 252.47 136.80 1089 BIL 1
BOZEMAN              MT US 249.85 136.78 1361 BZN 0
BUTTE                MT US 248.50 136.95 1688 BTM 0
CUTBANK              MT US 248.63 139.60 1175 CTB 0
GLASGOW              MT US 254.38 139.22  701 GGW 0
GREAT FALLS          MT US 249.63 138.48 1115 GTF 0
HAVRE                MT US 251.23 139.55  793 HVR 0
HELENA               MT US 249.00 137.60 1189 HLN 0
JORDAN               MT US 254.17 138.33  813 JDN 0
KALISPELL            MT US 246.73 139.30  907 FCA 0
LEWISTOWN            MT US 251.55 138.05 1280 LWT 0
MALMSTROM AFB        MT US 249.82 138.50 1075 GFA 0
MILES CITY           MT US 255.10 137.42  802 MLS 0
MISSOULA             MT US 246.92 137.92  973 MSO 0
VALLEY IND PK APT    MT US 254.47 139.42  841 GSG 0
